IDNo,ID,final_result,Female,Male,YoG,SGPA,CGPA100,CGPA200,CGPA300
42308,1,Pass,1,0,1.1,3.13,2.88,3.48,2.62
70978,2,Pass,1,0,1.1,3.02,3.25,4.26,3.37
31602,3,Pass,0,1,1.1,2.19,1.78,1.98,1.49
63847,4,Borderline pass,0,1,1.1,3.19,2.67,2.44,2
30158,5,Pass with distinction,1,0,1.1,4.24,3.61,3.69,3.63
51740,6,Pass,0,1,1.1,3.13,2.66,2.98,3.28
76075,7,Pass,0,1,1.1,3.02,3.68,3,3.44
60888,8,Pass,1,0,1.1,2.68,2.3,2.5,2.29
43378,9,Pass with distinction,0,1,1.1,3.13,3.3,3.64,3.88
80307,10,Pass with distinction,1,0,1.1,3.98,3.94,3.89,3.81
82483,11,Pass with distinction,1,0,1.1,4.11,3.83,4.06,3.56
40021,12,Pass,0,1,1.1,2.92,2.94,3.02,3
54093,13,Pass with distinction,1,0,1.1,4.14,5,4.98,5
87694,14,Pass,1,0,1.1,3.13,3.85,3.26,2.56
36750,15,Pass with distinction,1,0,1.1,2.89,4.32,4.28,4.53
33891,16,Pass with distinction,1,0,1.1,2.5,4.02,4.18,4.19
59057,17,Pass,0,1,1.1,3.04,4.02,3.55,3.34
72189,18,Pass with distinction,1,0,1.1,3.54,3.74,3.98,3.69
81428,19,Pass with distinction,0,1,1.1,2.55,3.4,2.37,3.91
93847,20,Pass,0,1,1.2,3.13,3.89,3.51,3.84
60462,21,Pass with distinction,1,0,1.2,3.59,3.45,3.63,3.9
89501,22,Pass with distinction,1,0,1.2,3.52,4.04,4.38,4.52
95498,23,Pass,1,0,1.2,3.13,3,3.48,3.42
48552,24,Pass with distinction,1,0,1.2,4.22,3.34,4.55,4.39
77591,25,Pass with distinction,1,0,1.2,3.52,4.34,4.7,4.74
68825,26,Pass with distinction,1,0,1.2,2.99,3.79,4.26,3.65
67261,27,Pass,0,1,1.2,3.36,2.49,2.62,2.52
47144,28,Pass with distinction,1,0,1.2,3.36,3.66,4.17,4.03
85814,29,Pass,1,0,1.2,2.66,3.32,3.45,4.16
69531,30,Pass with distinction,1,0,1.2,4.03,4.28,4.21,4.52
79884,31,Pass,0,1,1.2,2.81,2.98,2.56,2.32
45410,32,Pass with distinction,1,0,1.2,3.83,4.28,4.74,4.71
60050,33,Pass,1,0,1.2,3.13,2.74,2.37,2.85
76544,34,Pass,1,0,1.2,3.3,2.94,2.51,2.68
39674,35,Pass with distinction,1,0,1.2,3.66,3.62,3.81,3.94
60321,36,Pass with distinction,1,0,1.2,4.06,3.74,3.89,4.29
51531,37,Pass,1,0,1.2,2.95,3.32,4.13,4.15
90431,38,Pass,0,1,1.2,2.89,3.91,3.68,3.55
85661,39,Pass,1,0,1.2,3.54,3.66,3.31,3.71
29174,40,Pass with distinction,1,0,1.2,3.36,3.6,3.38,4
51383,41,Pass,1,0,1.2,3.05,3.36,3.18,3.19
75401,42,Pass,0,1,1.2,2.73,2.79,2.25,3.06
56392,43,Pass with distinction,1,0,1.2,2.57,3.98,4.17,4.45
25220,44,Pass,1,0,1.2,3.59,3.28,3.17,3.13
96366,45,Pass,1,0,1.2,3.44,2.6,2.34,2.29
42908,46,Pass,1,0,1.2,2.85,3.13,2.51,2.23
66373,47,Pass with distinction,1,0,1.2,4.45,4.3,4.72,4.94
50580,48,Pass,0,1,1.2,2.97,3.28,3.14,3.42
94666,49,Pass with distinction,1,0,1.2,3.83,4,3.61,3.97
31083,50,Pass,0,1,1.2,3.05,2.89,1.94,2.45
53806,51,Pass,0,1,1.2,3.56,3.3,2.84,3.45
87210,52,Pass,1,0,1.2,2.97,2.7,2.65,3.26
63782,53,Pass with distinction,1,0,1.2,2.95,3.43,4.12,4.35
94070,54,Pass with distinction,1,0,1.2,3.75,3.47,3.68,3.64
