ID,final_result,d_male,d_female,does father have a professional degree,does mother have a professional degree,d_stratum1,d_stratum2,d_stratum3,d_stratum4,d_stratum5,d_stratum6,d_level1sisben,d_level2sisben,d_level3sisben,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,JOB,Private school,public school,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,WC_PRO,FEP_PRO
1,4,0,1,0,1,0,0,0,1,0,0,0,0,0,3,1,1,1,1,0,0,1,1,1,1,0,1,0,71,81,61,86,82,71,93,71,79,181
2,4,0,1,0,1,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,83,75,66,100,88,97,38,86,78,201
3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,1,1,0,0,1,1,1,0,1,1,0,52,49,38,46,42,17,1,18,22,113
4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,56,55,51,64,73,65,35,76,48,137
5,4,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,80,65,76,85,92,94,94,98,71,189
6,3,0,1,1,1,0,0,0,0,0,1,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,71,60,57,61,82,86,15,32,36,170
7,3,1,0,1,1,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,71,75,61,75,85,68,8,50,53,187
8,4,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,1,1,1,1,1,1,1,1,0,0,1,0,74,67,61,85,96,97,86,94,98,188
9,2,1,0,0,1,0,1,0,0,0,0,0,0,0,3,1,1,1,1,0,0,1,1,1,1,0,1,0,44,54,61,44,46,51,57,43,19,177
10,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,0,52,55,51,55,65,13,41,22,1,112
11,4,0,1,0,0,0,0,1,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,74,71,61,78,96,96,83,93,98,187
12,2,1,0,1,0,0,1,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,0,54,47,49,45,43,64,19,79,5,141
13,3,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,1,1,1,0,0,1,1,1,0,0,1,0,56,62,61,61,50,41,45,74,37,119
14,4,1,0,1,1,0,0,0,0,0,1,0,0,0,6,1,1,1,1,1,1,1,1,1,1,0,1,0,76,71,64,75,82,99,82,80,83,180
15,3,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,56,45,59,51,44,46,61,81,76,137
16,4,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,1,1,1,1,0,1,0,62,58,59,55,59,89,64,77,30,172
17,3,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,74,67,72,78,68,83,69,72,8,145
